sample_index,sensor_id,temperature_celsius,frequency_hz
0,S01,25.0,100007.45257231526
1,S01,25.02,100012.3595605933
2,S01,25.04,100023.78420644012
3,S01,25.06,100044.71598314337
4,S01,25.08,100034.57100461618
5,S01,25.1,100037.19004792187
6,S01,25.12,100069.71213406496
7,S01,25.14,100077.14642253099
8,S01,25.16,100088.55679838097
9,S01,25.18,100094.32138564979
10,S01,25.2,100101.66107150096
11,S01,25.22,100113.6929954033
12,S01,25.24,100127.6574207771
13,S01,25.26,100145.23199046207
14,S01,25.28,100139.05318195118
15,S01,25.3,100153.14227198075
16,S01,25.32,100152.62041152219
17,S01,25.34,100167.44698355495
18,S01,25.36,100199.90738868974
19,S01,25.38,100196.26667587624
20,S01,25.4,100203.57979799286
21,S01,25.42,100209.24314506941
22,S01,25.44,100237.63458801941
23,S01,25.46,100253.28101065442
24,S01,25.48,100245.0483176554
25,S01,25.5,100260.13539731849
26,S01,25.52,100280.09266312375
27,S01,25.54,100286.45393421686
28,S01,25.56,100276.29634178328
29,S01,25.58,100289.27182218478
30,S01,25.6,100307.0558833815
31,S01,25.62,100308.71854639423
32,S01,25.64,100336.4873269679
33,S01,25.66,100337.72360637481
34,S01,25.68,100335.02720796483
35,S01,25.7,100354.68306301809
36,S01,25.72,100358.0543163692
37,S01,25.74,100369.21038138417
38,S01,25.76,100379.18913491773
39,S01,25.78,100394.63984285439
40,S01,25.8,100416.23232774783
41,S01,25.82,100422.58926113104
42,S01,25.84,100430.39622148684
43,S01,25.86,100444.59851375096
44,S01,25.88,100452.0738133525
45,S01,25.9,100465.58555458694
46,S01,25.92,100470.16749604282
47,S01,25.94,100493.58890556435
48,S01,25.96,100487.55424180071
49,S01,25.98,100508.6511392057
50,S01,26.0,100514.70233475868
51,S01,26.02,100529.4575317941
52,S01,26.04,100544.25289499809
53,S01,26.06,100539.3544702594
54,S01,26.08,100550.28164609648
55,S01,26.1,100561.21167028112
56,S01,26.12,100573.93047127484
57,S01,26.14,100580.05767148527
